timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:30:03;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:30:06;-0,4784418;0,5738245;2,417945;-0,6296262;0,5058371;2,388273
31.01.2025 18:30:07;-0,4776021;0,5703579;2,416234;-0,6289424;0,5057154;2,388211
31.01.2025 18:30:08;-0,4771495;0,5717967;2,416428;-0,6288381;0,5059639;2,388188
31.01.2025 18:30:09;-0,478128;0,5626062;2,415936;-0,6263583;0,5048665;2,393742
31.01.2025 18:30:10;-0,4891592;0,4802654;2,35256;-0,6498438;0,4485782;2,333782
31.01.2025 18:30:11;-0,4916554;0,5201179;2,361521;-0,6469451;0,4525214;2,338018
31.01.2025 18:30:12;-0,4966732;0,5190357;2,368276;-0,6506752;0,4674571;2,355281
31.01.2025 18:30:13;-0,5029673;0,5185066;2,365261;-0,6560264;0,4641514;2,351987
31.01.2025 18:30:14;-0,4957018;0,5146434;2,361802;-0,6505443;0,4634796;2,346912
31.01.2025 18:30:15;-0,4987864;0,5261183;2,366029;-0,651997;0,4722216;2,350409
31.01.2025 18:30:16;-0,4985177;0,5177385;2,363777;-0,6515447;0,4673985;2,349822
31.01.2025 18:30:17;-0,5010576;0,5251242;2,365763;-0,6561374;0,467784;2,348162
31.01.2025 18:30:18;-0,4986078;0,5208498;2,365979;-0,6526093;0,4701784;2,350176
31.01.2025 18:30:19;-0,4965246;0,5112484;2,365378;-0,6513037;0,4649545;2,350232
31.01.2025 18:30:20;-0,4964036;0,5121433;2,366914;-0,6514028;0,4597887;2,351237
31.01.2025 18:30:21;-0,4972866;0,5082296;2,364899;-0,6522141;0,4566125;2,349616
31.01.2025 18:30:22;-0,4952583;0,5053734;2,36509;-0,6503106;0,4555346;2,349406
31.01.2025 18:30:23;-0,4956768;0,5056978;2,365497;-0,6501696;0,4555287;2,349797
31.01.2025 18:30:24;-0,430436;0,4667059;2,435962;-0,6030959;0,5072159;2,362729
31.01.2025 18:30:25;-0,5467458;0,4274703;2,764869;-0,6240219;0,4572479;2,619735
31.01.2025 18:30:26;-0,4963988;0,3958708;2,695969;-0,6074299;0,409685;2,571725
31.01.2025 18:30:27;-0,4895367;0,4075221;2,634624;-0,6173998;0,4139538;2,530047
31.01.2025 18:30:28;-0,5575402;0,696893;3,090193;-0,6457938;0,738358;2,911559
31.01.2025 18:30:29;-0,08515036;0,9277447;3,562401;0,02512956;0,8895633;3,388188
31.01.2025 18:30:30;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:30:31;-0,695;1,791;2,536;0,3274543;0,8664889;2,065359
31.01.2025 18:30:32;0,07755774;0,6098506;3,077951;0,362117;0,8529028;2,026116
31.01.2025 18:30:33;0,06681156;0,7187234;3,129696;0,4925782;0,6859097;1,986753
31.01.2025 18:30:34;0,0723893;0,7196814;3,125908;0,5107107;0,6638891;1,979628
timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:31:52;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:31:55;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:31:56;-0,3533511;1,322314;2,799114;-0,695;1,791;2,536
31.01.2025 18:31:57;-0,3543852;1,322527;2,79456;-0,695;1,791;2,536
31.01.2025 18:31:58;-0,3548739;1,323534;2,798726;-0,695;1,791;2,536
31.01.2025 18:31:59;-0,3583601;1,326279;2,795805;-0,2925012;1,502476;2,52876
31.01.2025 18:32:00;-0,3572062;1,323578;2,797079;-0,3004399;1,520369;2,514557
31.01.2025 18:32:01;-0,3529536;1,316388;2,802479;-0,3337469;1,534458;2,495547
31.01.2025 18:32:02;-0,3615279;1,331332;2,795551;-0,695;1,791;2,536
31.01.2025 18:32:03;-0,3579717;1,327366;2,799716;-0,695;1,791;2,536
31.01.2025 18:32:04;-0,3550652;1,325765;2,795787;-0,3614856;1,554773;2,486176
31.01.2025 18:32:05;-0,695;1,791;2,536;-0,3429691;1,450275;2,497568
31.01.2025 18:32:06;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:32:07;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:32:08;-0,3490012;1,320637;2,795139;-0,3626257;1,506073;2,535853
31.01.2025 18:32:09;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:32:10;-0,3576845;1,328487;2,792295;-0,3318111;1,544271;2,515111
31.01.2025 18:32:11;-0,3542539;1,322987;2,797502;-0,695;1,791;2,536
31.01.2025 18:32:12;-0,3586828;1,330917;2,797415;-0,2253393;1,362074;2,331631
timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:36:34;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:36:37;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:36:38;-0,695;1,791;2,536;-0,2477304;1,330904;2,343464
31.01.2025 18:36:39;-0,695;1,791;2,536;-0,2342724;1,319468;2,345222
31.01.2025 18:36:40;-0,695;1,791;2,536;-0,2294631;1,318373;2,346594
31.01.2025 18:36:41;-0,695;1,791;2,536;-0,2348012;1,378954;2,334452
31.01.2025 18:36:42;-0,695;1,791;2,536;-0,2928448;1,362012;2,410166
31.01.2025 18:36:43;-0,695;1,791;2,536;-0,3257671;1,349424;2,442161
31.01.2025 18:36:44;-0,695;1,791;2,536;-0,2986267;1,347262;2,411765
31.01.2025 18:36:45;-0,4359156;1,307065;2,683235;-0,2696213;1,372256;2,365233
31.01.2025 18:36:46;-0,4333468;1,317661;2,681998;-0,2653643;1,377431;2,3642
31.01.2025 18:36:47;-0,4224154;1,316526;2,680436;-0,2339896;1,324974;2,326041
31.01.2025 18:36:48;-0,4273234;1,318412;2,671942;-0,2314196;1,321429;2,323698
31.01.2025 18:36:49;-0,4294097;1,340073;2,690811;-0,2350468;1,325934;2,324093
31.01.2025 18:36:50;-0,4165591;1,315092;2,681185;-0,237392;1,323087;2,326088
31.01.2025 18:36:51;-0,42404;1,327781;2,680718;-0,2348927;1,326255;2,32863
31.01.2025 18:36:52;-0,695;1,791;2,536;-0,2280706;1,333472;2,32633
31.01.2025 18:36:53;-0,3756259;1,32893;2,767412;-0,2397783;1,337155;2,330246
31.01.2025 18:36:55;-0,364355;1,32574;2,788291;-0,2323484;1,324964;2,323236
31.01.2025 18:36:56;-0,3629367;1,322626;2,788629;-0,2352933;1,327743;2,328895
31.01.2025 18:36:57;-0,3618374;1,320401;2,787989;-0,240399;1,331103;2,328512
31.01.2025 18:36:58;-0,3644926;1,32347;2,787585;-0,244325;1,336017;2,331405
31.01.2025 18:36:59;-0,3647787;1,324287;2,787784;-0,2461758;1,339112;2,332052
31.01.2025 18:37:00;-0,3572306;1,327069;2,801306;-0,2407607;1,331425;2,329983
31.01.2025 18:37:01;-0,3594857;1,33039;2,803998;-0,225399;1,319365;2,325106
31.01.2025 18:37:02;-0,3637937;1,333175;2,802948;-0,2199637;1,31198;2,320923
31.01.2025 18:37:03;-0,3707372;1,335551;2,800771;-0,2416322;1,336157;2,324151
31.01.2025 18:37:04;-0,617578;1,722509;2,884153;-0,234914;1,327912;2,33004
31.01.2025 18:37:05;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:37:06;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:37:07;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:37:08;-0,3506629;1,320301;2,815784;-0,695;1,791;2,536
31.01.2025 18:37:09;-0,3505382;1,324505;2,818894;-0,695;1,791;2,536
31.01.2025 18:37:10;-0,3518989;1,322807;2,816196;-0,695;1,791;2,536
31.01.2025 18:37:11;-0,3486698;1,309568;2,814656;-0,695;1,791;2,536
31.01.2025 18:37:12;-0,3531508;1,330801;2,813349;-0,205378;1,346576;2,313509
31.01.2025 18:37:13;-0,3523555;1,333516;2,81142;-0,1891328;1,305858;2,295937
31.01.2025 18:37:14;-0,3503159;1,3339;2,8218;-0,1837271;1,301467;2,295485
31.01.2025 18:37:15;-0,3473814;1,331676;2,820259;-0,1843172;1,320597;2,305559
31.01.2025 18:37:16;-0,3490546;1,331833;2,818661;-0,202885;1,359361;2,299997
31.01.2025 18:37:17;-0,3481685;1,322183;2,826845;-0,695;1,791;2,536
31.01.2025 18:37:18;-0,3490757;1,328257;2,822536;-0,695;1,791;2,536
31.01.2025 18:37:19;-0,346296;1,311146;2,817675;-0,2011126;1,303541;2,299955
31.01.2025 18:37:20;-0,3499471;1,328838;2,803406;-0,1986061;1,309965;2,297046
31.01.2025 18:37:21;-0,3453994;1,311471;2,811579;-0,2064056;1,318017;2,29874
31.01.2025 18:37:22;-0,3522258;1,333253;2,818725;-0,2011452;1,305346;2,29547
31.01.2025 18:37:23;-0,3502989;1,331007;2,814811;-0,2069986;1,312692;2,299214
